                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4242,                  3.027,                 1.6333,                 0.6742,                0.62392,                 0.6371,                0.41115,                 1.1574,                 2.2331,                 1.5411,             0.00029627,             0.00029627,             0.00029627
                      2,                 1.1065,                 1.5223,                  1.385,                0.66959,                0.77174,                0.78681,                0.57261,                 1.0518,                 2.4322,                 1.4846,             0.00057554,             0.00057554,             0.00057554
                      3,                 1.0888,                 1.3464,                 1.3677,                0.69411,                0.78773,                0.78601,                0.54889,                 1.0474,                 1.8247,                 1.4167,             0.00083081,             0.00083081,             0.00083081
                      4,                 1.0407,                 1.1761,                 1.3115,                0.77133,                0.76506,                0.79861,                0.57303,                 1.0112,                 1.0615,                 1.4171,             0.00080101,             0.00080101,             0.00080101
                      5,                0.99832,                 1.0865,                 1.3074,                 0.8296,                0.76545,                0.83407,                0.61617,                0.96476,                 0.9831,                 1.3903,             0.00076501,             0.00076501,             0.00076501
                      6,                0.94124,                 1.0186,                 1.2628,                0.73227,                0.77567,                0.79041,                0.58191,                 1.0441,                 1.0007,                 1.4263,             0.00072902,             0.00072902,             0.00072902
                      7,                0.96418,                 1.0064,                 1.2907,                0.82126,                0.79075,                0.83883,                0.63719,                0.90208,                0.97439,                 1.3342,             0.00069302,             0.00069302,             0.00069302
                      8,                0.92194,                0.96952,                 1.2662,                0.74181,                0.81054,                0.84101,                0.64642,                0.85202,                0.93052,                 1.3263,             0.00065703,             0.00065703,             0.00065703
                      9,                0.87115,                0.90076,                   1.23,                0.65318,                0.82208,                0.81558,                0.63675,                0.88273,                0.88118,                 1.3398,             0.00062103,             0.00062103,             0.00062103
                     10,                0.89138,                0.90675,                 1.2264,                0.77149,                0.77364,                0.82855,                0.64879,                0.87462,                0.84234,                 1.3256,             0.00058503,             0.00058503,             0.00058503
                     11,                0.85346,                0.84835,                 1.2251,                0.82595,                0.81517,                0.87232,                0.68858,                0.80422,                0.71911,                 1.2476,             0.00054904,             0.00054904,             0.00054904
                     12,                0.83506,                0.81071,                 1.1806,                0.84786,                 0.8263,                0.86499,                 0.6902,                0.80961,                0.79501,                 1.2534,             0.00051304,             0.00051304,             0.00051304
                     13,                0.79867,                0.78921,                 1.1621,                0.81799,                0.80845,                0.86971,                0.70123,                0.77405,                0.75486,                 1.2389,             0.00047704,             0.00047704,             0.00047704
                     14,                0.77172,                0.77202,                 1.1616,                0.85226,                 0.8261,                0.88102,                0.69896,                0.82329,                0.74748,                 1.2633,             0.00044105,             0.00044105,             0.00044105
                     15,                0.77942,                0.77129,                 1.1601,                0.88236,                0.79838,                0.88016,                0.72531,                0.71193,                0.68568,                 1.1999,             0.00040505,             0.00040505,             0.00040505
                     16,                0.77857,                0.75585,                 1.2004,                0.83012,                0.80984,                0.87467,                0.70487,                 0.7872,                 0.7951,                  1.273,             0.00036905,             0.00036905,             0.00036905
                     17,                 0.7257,                0.68669,                 1.1785,                0.85986,                0.81557,                0.88706,                0.73928,                0.68862,                0.71346,                 1.2154,             0.00033306,             0.00033306,             0.00033306
                     18,                0.71256,                0.71002,                 1.1697,                0.86467,                 0.8253,                0.88655,                0.73693,                0.69283,                0.67294,                 1.2001,             0.00029706,             0.00029706,             0.00029706
                     19,                0.68419,                0.61861,                 1.1514,                0.88396,                0.79723,                0.88159,                0.73121,                0.70804,                0.65895,                 1.2096,             0.00026106,             0.00026106,             0.00026106
                     20,                0.64305,                0.59991,                 1.1256,                0.87578,                0.81275,                0.88786,                0.74914,                0.68039,                0.65844,                 1.2085,             0.00022507,             0.00022507,             0.00022507
                     21,                0.62471,                0.54759,                 1.1047,                0.89767,                0.81058,                0.89768,                0.74713,                0.67882,                0.60823,                 1.2156,             0.00018907,             0.00018907,             0.00018907
                     22,                0.61306,                0.54695,                 1.0683,                0.88869,                0.81647,                0.89387,                0.75551,                0.65643,                0.64682,                 1.1934,             0.00015308,             0.00015308,             0.00015308
                     23,                0.58805,                0.54171,                 1.0554,                0.86667,                0.83427,                0.89532,                0.75588,                0.64785,                 0.6469,                  1.186,             0.00011708,             0.00011708,             0.00011708
                     24,                0.57969,                0.52834,                 1.0871,                0.85564,                0.82533,                0.88575,                0.75817,                 0.6434,                0.67331,                 1.1888,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     25,                0.58186,                0.50988,                 1.0791,                0.85249,                0.83216,                0.88734,                0.75745,                0.64786,                0.68084,                  1.192,             4.5086e-05,             4.5086e-05,             4.5086e-05
